link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/katangus/which-tv-dad-should-you-bone,https://www.buzzfeed.com/amphtml/katangus/which-tv-dad-should-you-bone,2893,76,2024,1206,0
https://www.buzzfeed.com/katangus/which-tv-dad-should-you-bone,https://www.buzzfeed.com/amphtml/katangus/which-tv-dad-should-you-bone,2845,55,889,35,1
https://www.buzzfeed.com/katangus/which-tv-dad-should-you-bone,https://www.buzzfeed.com/amphtml/katangus/which-tv-dad-should-you-bone,2514,79,830,30,2
https://www.buzzfeed.com/katangus,https://www.buzzfeed.com/amphtml/katangus,1310,144,7045,4508,0
https://www.buzzfeed.com/katangus,https://www.buzzfeed.com/amphtml/katangus,1555,65,2369,68,1
https://www.buzzfeed.com/katangus,https://www.buzzfeed.com/amphtml/katangus,1728,70,2510,93,2
https://www.buzzfeed.com/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,https://www.buzzfeed.com/amphtml/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,2123,90,1999,818,0
https://www.buzzfeed.com/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,https://www.buzzfeed.com/amphtml/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,2158,71,1913,55,1
https://www.buzzfeed.com/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,https://www.buzzfeed.com/amphtml/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,2064,64,2131,43,2
https://www.buzzfeed.com/farrahpenn,https://www.buzzfeed.com/amphtml/farrahpenn,2183,587,4141,1562,0
https://www.buzzfeed.com/farrahpenn,https://www.buzzfeed.com/amphtml/farrahpenn,1618,61,2903,73,1
https://www.buzzfeed.com/farrahpenn,https://www.buzzfeed.com/amphtml/farrahpenn,1257,64,2858,390,2
https://www.buzzfeed.com/ishmaeldaro/canada-motion-103-conspiracies,https://www.buzzfeed.com/amphtml/ishmaeldaro/canada-motion-103-conspiracies,2302,93,1855,561,0
https://www.buzzfeed.com/ishmaeldaro/canada-motion-103-conspiracies,https://www.buzzfeed.com/amphtml/ishmaeldaro/canada-motion-103-conspiracies,2571,79,878,35,1
https://www.buzzfeed.com/ishmaeldaro/canada-motion-103-conspiracies,https://www.buzzfeed.com/amphtml/ishmaeldaro/canada-motion-103-conspiracies,2996,63,2051,86,2
https://www.buzzfeed.com/ishmaeldaro,https://www.buzzfeed.com/amphtml/ishmaeldaro,2351,973,3526,1197,0
https://www.buzzfeed.com/ishmaeldaro,https://www.buzzfeed.com/amphtml/ishmaeldaro,1716,69,2943,86,1
https://www.buzzfeed.com/ishmaeldaro,https://www.buzzfeed.com/amphtml/ishmaeldaro,1852,89,2521,76,2
https://www.buzzfeed.com/jemimaskelley/who-is-this-woman,https://www.buzzfeed.com/amphtml/jemimaskelley/who-is-this-woman,2535,73,1416,557,0
https://www.buzzfeed.com/jemimaskelley/who-is-this-woman,https://www.buzzfeed.com/amphtml/jemimaskelley/who-is-this-woman,2287,55,742,38,1
https://www.buzzfeed.com/jemimaskelley/who-is-this-woman,https://www.buzzfeed.com/amphtml/jemimaskelley/who-is-this-woman,2244,62,748,37,2
https://www.buzzfeed.com/jemimaskelley,https://www.buzzfeed.com/amphtml/jemimaskelley,1551,129,8619,1945,0
