link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,https://www.buzzfeed.com/amphtml/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,2079,58,2123,966,0
https://www.buzzfeed.com/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,https://www.buzzfeed.com/amphtml/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,2069,46,978,44,1
https://www.buzzfeed.com/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,https://www.buzzfeed.com/amphtml/farrahpenn/pictures-that-prove-you-should-never-mess-with-teens,2047,73,980,35,2
https://www.buzzfeed.com/farrahpenn,https://www.buzzfeed.com/amphtml/farrahpenn,3823,2498,3221,1311,0
https://www.buzzfeed.com/farrahpenn,https://www.buzzfeed.com/amphtml/farrahpenn,2297,56,2133,91,1
https://www.buzzfeed.com/farrahpenn,https://www.buzzfeed.com/amphtml/farrahpenn,1258,52,1915,62,2
https://www.buzzfeed.com/ishmaeldaro/canada-motion-103-conspiracies,https://www.buzzfeed.com/amphtml/ishmaeldaro/canada-motion-103-conspiracies,4653,57,1054,67,0
https://www.buzzfeed.com/ishmaeldaro/canada-motion-103-conspiracies,https://www.buzzfeed.com/amphtml/ishmaeldaro/canada-motion-103-conspiracies,4160,49,1214,38,1
https://www.buzzfeed.com/ishmaeldaro/canada-motion-103-conspiracies,https://www.buzzfeed.com/amphtml/ishmaeldaro/canada-motion-103-conspiracies,3472,47,919,40,2
https://www.buzzfeed.com/ishmaeldaro,https://www.buzzfeed.com/amphtml/ishmaeldaro,2263,1015,4918,1168,0
https://www.buzzfeed.com/ishmaeldaro,https://www.buzzfeed.com/amphtml/ishmaeldaro,1238,59,1855,52,1
https://www.buzzfeed.com/ishmaeldaro,https://www.buzzfeed.com/amphtml/ishmaeldaro,1262,52,2201,80,2
https://www.buzzfeed.com/jemimaskelley/who-is-this-woman,https://www.buzzfeed.com/amphtml/jemimaskelley/who-is-this-woman,15867,53,1684,1030,0
https://www.buzzfeed.com/jemimaskelley/who-is-this-woman,https://www.buzzfeed.com/amphtml/jemimaskelley/who-is-this-woman,2870,48,649,36,1
https://www.buzzfeed.com/jemimaskelley/who-is-this-woman,https://www.buzzfeed.com/amphtml/jemimaskelley/who-is-this-woman,2242,50,1035,362,2
https://www.buzzfeed.com/jemimaskelley,https://www.buzzfeed.com/amphtml/jemimaskelley,3551,1911,3756,1543,0
https://www.buzzfeed.com/jemimaskelley,https://www.buzzfeed.com/amphtml/jemimaskelley,1493,48,2538,380,1
https://www.buzzfeed.com/jemimaskelley,https://www.buzzfeed.com/amphtml/jemimaskelley,1622,52,2653,98,2
https://www.buzzfeed.com/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,https://www.buzzfeed.com/amphtml/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,4079,55,1509,473,0
https://www.buzzfeed.com/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,https://www.buzzfeed.com/amphtml/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,1687,57,1217,33,1
https://www.buzzfeed.com/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,https://www.buzzfeed.com/amphtml/hitomiaihara/bacon-wrapped-slow-cooker-pulled-pork,1574,47,1090,38,2
https://www.buzzfeed.com/lorynbrantz/alpaca-lotta-punch,https://www.buzzfeed.com/amphtml/lorynbrantz/alpaca-lotta-punch,2037,59,990,406,0
https://www.buzzfeed.com/lorynbrantz/alpaca-lotta-punch,https://www.buzzfeed.com/amphtml/lorynbrantz/alpaca-lotta-punch,1982,50,745,40,1
https://www.buzzfeed.com/lorynbrantz/alpaca-lotta-punch,https://www.buzzfeed.com/amphtml/lorynbrantz/alpaca-lotta-punch,2117,64,685,45,2
https://www.buzzfeed.com/lorynbrantz,https://www.buzzfeed.com/amphtml/lorynbrantz,1452,108,3844,1691,0
https://www.buzzfeed.com/lorynbrantz,https://www.buzzfeed.com/amphtml/lorynbrantz,1233,46,4907,52,1
https://www.buzzfeed.com/lorynbrantz,https://www.buzzfeed.com/amphtml/lorynbrantz,2250,489,2224,52,2
https://www.buzzfeed.com/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,https://www.buzzfeed.com/amphtml/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,2459,54,1555,105,0
https://www.buzzfeed.com/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,https://www.buzzfeed.com/amphtml/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,6056,60,1250,37,1
https://www.buzzfeed.com/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,https://www.buzzfeed.com/amphtml/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,2460,55,2198,83,2
https://www.buzzfeed.com/claudiakoerner,https://www.buzzfeed.com/amphtml/claudiakoerner,2731,930,3882,1509,0
https://www.buzzfeed.com/claudiakoerner,https://www.buzzfeed.com/amphtml/claudiakoerner,2204,44,1842,63,1
https://www.buzzfeed.com/claudiakoerner,https://www.buzzfeed.com/amphtml/claudiakoerner,1645,46,2202,52,2
https://www.buzzfeed.com/michellerennex/horngry,https://www.buzzfeed.com/amphtml/michellerennex/horngry,2301,53,1428,806,0
https://www.buzzfeed.com/michellerennex/horngry,https://www.buzzfeed.com/amphtml/michellerennex/horngry,2592,45,650,32,1
https://www.buzzfeed.com/michellerennex/horngry,https://www.buzzfeed.com/amphtml/michellerennex/horngry,2118,52,658,28,2
https://www.buzzfeed.com/michellerennex,https://www.buzzfeed.com/amphtml/michellerennex,1416,139,4060,1567,0
https://www.buzzfeed.com/michellerennex,https://www.buzzfeed.com/amphtml/michellerennex,1590,55,2191,73,1
https://www.buzzfeed.com/michellerennex,https://www.buzzfeed.com/amphtml/michellerennex,1341,51,2414,63,2
https://www.buzzfeed.com/gyanyankovich/how-you-saved-money-at-uni,https://www.buzzfeed.com/amphtml/gyanyankovich/how-you-saved-money-at-uni,7672,66,1416,448,0
https://www.buzzfeed.com/gyanyankovich/how-you-saved-money-at-uni,https://www.buzzfeed.com/amphtml/gyanyankovich/how-you-saved-money-at-uni,2379,53,1227,33,1
https://www.buzzfeed.com/gyanyankovich/how-you-saved-money-at-uni,https://www.buzzfeed.com/amphtml/gyanyankovich/how-you-saved-money-at-uni,2306,50,967,78,2
https://www.buzzfeed.com/gyanyankovich,https://www.buzzfeed.com/amphtml/gyanyankovich,3242,1292,3370,1145,0
https://www.buzzfeed.com/gyanyankovich,https://www.buzzfeed.com/amphtml/gyanyankovich,1302,50,3360,59,1
https://www.buzzfeed.com/gyanyankovich,https://www.buzzfeed.com/amphtml/gyanyankovich,2230,55,3147,56,2
https://www.buzzfeed.com/kristinharris/celebrity-valentine,https://www.buzzfeed.com/amphtml/kristinharris/celebrity-valentine,2365,56,1264,557,0
https://www.buzzfeed.com/kristinharris/celebrity-valentine,https://www.buzzfeed.com/amphtml/kristinharris/celebrity-valentine,2093,70,653,37,1
https://www.buzzfeed.com/kristinharris/celebrity-valentine,https://www.buzzfeed.com/amphtml/kristinharris/celebrity-valentine,2229,60,722,31,2
https://www.buzzfeed.com/kristinharris,https://www.buzzfeed.com/amphtml/kristinharris,1938,119,3677,1630,0
