link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.theguardian.com/us-news/2017/feb/21/rosa-ortega-voter-fraud-texas-mexico-trump,https://amp.theguardian.com/us-news/2017/feb/21/rosa-ortega-voter-fraud-texas-mexico-trump,3670,64,2008,308,0
https://www.theguardian.com/us-news/2017/feb/21/rosa-ortega-voter-fraud-texas-mexico-trump,https://amp.theguardian.com/us-news/2017/feb/21/rosa-ortega-voter-fraud-texas-mexico-trump,4576,79,1551,42,1
https://www.theguardian.com/us-news/2017/feb/21/rosa-ortega-voter-fraud-texas-mexico-trump,https://amp.theguardian.com/us-news/2017/feb/21/rosa-ortega-voter-fraud-texas-mexico-trump,5226,526,1172,36,2
https://www.theguardian.com/world/2017/feb/21/vandals-damage-dozens-of-headstones-in-jewish-cemetery-in-missouri,https://amp.theguardian.com/world/2017/feb/21/vandals-damage-dozens-of-headstones-in-jewish-cemetery-in-missouri,4586,81,1327,185,0
https://www.theguardian.com/world/2017/feb/21/vandals-damage-dozens-of-headstones-in-jewish-cemetery-in-missouri,https://amp.theguardian.com/world/2017/feb/21/vandals-damage-dozens-of-headstones-in-jewish-cemetery-in-missouri,3598,85,1379,219,1
https://www.theguardian.com/world/2017/feb/21/vandals-damage-dozens-of-headstones-in-jewish-cemetery-in-missouri,https://amp.theguardian.com/world/2017/feb/21/vandals-damage-dozens-of-headstones-in-jewish-cemetery-in-missouri,3682,90,1234,47,2
https://www.theguardian.com/us-news/2017/feb/21/epa-scott-pruitt-trump-environment-economy,https://amp.theguardian.com/us-news/2017/feb/21/epa-scott-pruitt-trump-environment-economy,4437,80,3397,197,0
https://www.theguardian.com/us-news/2017/feb/21/epa-scott-pruitt-trump-environment-economy,https://amp.theguardian.com/us-news/2017/feb/21/epa-scott-pruitt-trump-environment-economy,3806,68,1329,57,1
https://www.theguardian.com/us-news/2017/feb/21/epa-scott-pruitt-trump-environment-economy,https://amp.theguardian.com/us-news/2017/feb/21/epa-scott-pruitt-trump-environment-economy,3920,76,1280,44,2
https://www.theguardian.com/world/2017/feb/21/elor-azaria-israeli-soldier-jailed-18-months-killing-palestinian,https://amp.theguardian.com/world/2017/feb/21/elor-azaria-israeli-soldier-jailed-18-months-killing-palestinian,3606,385,1382,248,0
https://www.theguardian.com/world/2017/feb/21/elor-azaria-israeli-soldier-jailed-18-months-killing-palestinian,https://amp.theguardian.com/world/2017/feb/21/elor-azaria-israeli-soldier-jailed-18-months-killing-palestinian,3679,80,1392,258,1
https://www.theguardian.com/world/2017/feb/21/elor-azaria-israeli-soldier-jailed-18-months-killing-palestinian,https://amp.theguardian.com/world/2017/feb/21/elor-azaria-israeli-soldier-jailed-18-months-killing-palestinian,3487,74,1288,57,2
https://www.theguardian.com/us-news/2017/feb/21/british-muslim-teacher-taken-off-us-bound-flight-i-was-treated-like-a-criminal,https://amp.theguardian.com/us-news/2017/feb/21/british-muslim-teacher-taken-off-us-bound-flight-i-was-treated-like-a-criminal,4536,80,1297,186,0
https://www.theguardian.com/us-news/2017/feb/21/british-muslim-teacher-taken-off-us-bound-flight-i-was-treated-like-a-criminal,https://amp.theguardian.com/us-news/2017/feb/21/british-muslim-teacher-taken-off-us-bound-flight-i-was-treated-like-a-criminal,3849,534,1156,47,1
https://www.theguardian.com/us-news/2017/feb/21/british-muslim-teacher-taken-off-us-bound-flight-i-was-treated-like-a-criminal,https://amp.theguardian.com/us-news/2017/feb/21/british-muslim-teacher-taken-off-us-bound-flight-i-was-treated-like-a-criminal,5186,81,1305,136,2
https://www.theguardian.com/tv-and-radio/2017/feb/21/late-night-tv-roundup-trump-sweden-never-fjorget,https://amp.theguardian.com/tv-and-radio/2017/feb/21/late-night-tv-roundup-trump-sweden-never-fjorget,4269,191,2206,177,0
https://www.theguardian.com/tv-and-radio/2017/feb/21/late-night-tv-roundup-trump-sweden-never-fjorget,https://amp.theguardian.com/tv-and-radio/2017/feb/21/late-night-tv-roundup-trump-sweden-never-fjorget,4290,82,1335,51,1
https://www.theguardian.com/tv-and-radio/2017/feb/21/late-night-tv-roundup-trump-sweden-never-fjorget,https://amp.theguardian.com/tv-and-radio/2017/feb/21/late-night-tv-roundup-trump-sweden-never-fjorget,4077,74,1415,50,2
