link,amp_link,non_amp_total,amp_total
https://www.theguardian.com/us-news/2017/feb/21/rosa-ortega-voter-fraud-texas-mexico-trump,https://amp.theguardian.com/us-news/2017/feb/21/rosa-ortega-voter-fraud-texas-mexico-trump,19303,7198
https://www.theguardian.com/us-news/2017/feb/21/tijuana-migration-latin-america-mexico-homelessness,https://amp.theguardian.com/us-news/2017/feb/21/tijuana-migration-latin-america-mexico-homelessness,27644,25662.2
https://www.theguardian.com/us-news/2017/feb/21/trump-draft-budget-legal-aid-low-income,https://amp.theguardian.com/us-news/2017/feb/21/trump-draft-budget-legal-aid-low-income,21013.8,6944.2
http://www.foxnews.com/health/2017/02/21/mom-will-give-birth-to-terminally-ill-daughter-to-donate-her-organs.html,http://www.foxnews.com/health/2017/02/21/mom-will-give-birth-to-terminally-ill-daughter-to-donate-her-organs.amp.html,52485.6,11073.2
http://www.foxnews.com/opinion/2017/02/21/sean-hannity-trump-frustrates-fake-news-media-at-every-turn.html,http://www.foxnews.com/opinion/2017/02/21/sean-hannity-trump-frustrates-fake-news-media-at-every-turn.amp.html,72335.25,10767.4
http://www.foxnews.com/opinion/2017/02/21/veiled-surprise-lebanon-meet-le-pen.html,http://www.foxnews.com/opinion/2017/02/21/veiled-surprise-lebanon-meet-le-pen.amp.html,58817.8,11049.4
http://www.foxnews.com/politics/2017/02/21/dhs-secretary-orders-immigration-agent-hiring-surge-end-to-catch-and-release.html,http://www.foxnews.com/politics/2017/02/21/dhs-secretary-orders-immigration-agent-hiring-surge-end-to-catch-and-release.amp.html,57243,11280.4
http://www.foxnews.com/politics/2017/02/21/new-immigration-policies-draw-both-praise-and-alarm.html,http://www.foxnews.com/politics/2017/02/21/new-immigration-policies-draw-both-praise-and-alarm.amp.html,54393.5,10838.33333
http://www.foxnews.com/politics/2017/02/21/trump-adviser-says-new-travel-ban-will-have-same-basic-policy-outcome.html,http://www.foxnews.com/politics/2017/02/21/trump-adviser-says-new-travel-ban-will-have-same-basic-policy-outcome.amp.html,77276.83333,10991
http://www.foxnews.com/us/2017/02/21/texas-border-residents-mixed-over-whether-need-finished-wall.html,http://www.foxnews.com/us/2017/02/21/texas-border-residents-mixed-over-whether-need-finished-wall.amp.html,63793.8,10530.8
http://www.foxnews.com/world/2017/02/15/trump-effect-populism-leaves-its-mark-on-european-allies-elections.html,http://www.foxnews.com/world/2017/02/15/trump-effect-populism-leaves-its-mark-on-european-allies-elections.amp.html,60216.8,10407.4
http://www.foxnews.com/world/2017/02/17/france-le-pen-faces-new-challenges-from-eu-parliament-un.html,http://www.foxnews.com/world/2017/02/17/france-le-pen-faces-new-challenges-from-eu-parliament-un.amp.html,38716,13181.8
http://www.foxnews.com/world/2017/02/21/french-presidential-candidate-le-pen-refuses-headscarf-to-meet-lebanons-mufti.html,http://www.foxnews.com/world/2017/02/21/french-presidential-candidate-le-pen-refuses-headscarf-to-meet-lebanons-mufti.amp.html,53628.6,10705.4
https://www.buzzfeed.com/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,https://www.buzzfeed.com/amphtml/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,53520.6,7201.4
https://www.buzzfeed.com/caseyrackham,https://www.buzzfeed.com/amphtml/caseyrackham,58513.2,52302.4
https://www.buzzfeed.com/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,https://www.buzzfeed.com/amphtml/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,79941,19422.8
https://www.buzzfeed.com/gyanyankovich,https://www.buzzfeed.com/amphtml/gyanyankovich,43345.4,59347.2
https://www.buzzfeed.com/gyanyankovich/how-you-saved-money-at-uni,https://www.buzzfeed.com/amphtml/gyanyankovich/how-you-saved-money-at-uni,62988,7604.4
https://www.buzzfeed.com/jessicamisener,https://www.buzzfeed.com/amphtml/jessicamisener,41005.2,51280
https://www.buzzfeed.com/jessicamisener/wyd,https://www.buzzfeed.com/amphtml/jessicamisener/wyd,50862.2,8943.4
https://www.buzzfeed.com/kristinharris,https://www.buzzfeed.com/amphtml/kristinharris,49191,50254.2
https://www.buzzfeed.com/kristinharris/celebrity-valentine,https://www.buzzfeed.com/amphtml/kristinharris/celebrity-valentine,77397.6,8374.2
https://www.buzzfeed.com/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,https://www.buzzfeed.com/amphtml/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,60514.4,9852.6
https://www.washingtonpost.com/news/early-lead/wp/2017/02/06/ncaa-reportedly-is-on-the-verge-of-blackballing-north-carolina-for-years-over-bathroom-bill/,https://www.washingtonpost.com/amphtml/news/early-lead/wp/2017/02/06/ncaa-reportedly-is-on-the-verge-of-blackballing-north-carolina-for-years-over-bathroom-bill/,38182.4,27468.2
https://www.washingtonpost.com/news/post-nation/wp/2017/02/05/she-went-for-a-jog-and-never-came-home-six-months-later-police-may-have-found-her-killer/,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/05/she-went-for-a-jog-and-never-came-home-six-months-later-police-may-have-found-her-killer/,58896.8,21827
https://www.washingtonpost.com/news/post-nation/wp/2017/02/06/this-judge-told-a-19-year-old-rapist-that-his-probation-would-include-no-sex-outside-of-marriage/,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/06/this-judge-told-a-19-year-old-rapist-that-his-probation-would-include-no-sex-outside-of-marriage/,61421.4,33745.6
https://www.washingtonpost.com/news/post-nation/wp/2017/02/06/trumps-travel-ban-what-happens-next/?utm_term=.80eb6860c483,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/06/trumps-travel-ban-what-happens-next/?utm_term=.80eb6860c483,71249.8,23627.2
https://www.washingtonpost.com/news/post-nation/wp/2017/02/06/twitter-mocks-a-tiny-trump-rally/,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/06/twitter-mocks-a-tiny-trump-rally/,98157.4,21491.6
https://www.washingtonpost.com/news/post-nation/wp/2017/02/12/a-kkk-leader-suddenly-disappeared-his-body-was-found-by-a-river-a-few-days-later-police-say/?postshare=231486934615208&amp;tid=ss_tw&amp;utm_term=.fb6732c09882,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/12/a-kkk-leader-suddenly-disappeared-his-body-was-found-by-a-river-a-few-days-later-police-say/?postshare=231486934615208&amp;tid=ss_tw&amp;utm_term=.fb6732c09882,42150,22345
https://www.washingtonpost.com/news/the-fix/wp/2017/02/05/how-washington-state-became-the-epicenter-of-resistance-to-trumps-agenda/,https://www.washingtonpost.com/amphtml/news/the-fix/wp/2017/02/05/how-washington-state-became-the-epicenter-of-resistance-to-trumps-agenda/,55344.6,32499.4
https://www.washingtonpost.com/news/the-fix/wp/2017/02/06/she-had-something-to-say-about-betsy-devos-so-she-sent-her-senator-a-pizza-with-a-message/,https://www.washingtonpost.com/amphtml/news/the-fix/wp/2017/02/06/she-had-something-to-say-about-betsy-devos-so-she-sent-her-senator-a-pizza-with-a-message/,50426.2,24089.2
https://www.washingtonpost.com/news/true-crime/wp/2017/02/06/they-were-once-one-big-happy-group-now-two-teens-are-accused-of-killing-another/,https://www.washingtonpost.com/amphtml/news/true-crime/wp/2017/02/06/they-were-once-one-big-happy-group-now-two-teens-are-accused-of-killing-another/,46412.2,23713.6
https://www.washingtonpost.com/news/true-crime/wp/2017/02/14/jury-convicts-man-in-the-slaying-of-6-year-old-etan-patz-who-vanished-in-1979/?utm_term=.f1c575ade07a,https://www.washingtonpost.com/amphtml/news/true-crime/wp/2017/02/14/jury-convicts-man-in-the-slaying-of-6-year-old-etan-patz-who-vanished-in-1979/?utm_term=.f1c575ade07a,36075,20522
https://www.washingtonpost.com/news/worldviews/wp/2017/02/06/bill-oreilly-called-putin-a-killer-now-the-kremlin-wants-an-apology-from-fox-news/,https://www.washingtonpost.com/amphtml/news/worldviews/wp/2017/02/06/bill-oreilly-called-putin-a-killer-now-the-kremlin-wants-an-apology-from-fox-news/,52731,42664.4
https://www.washingtonpost.com/news/worldviews/wp/2017/02/06/breaking-bad-fan-who-dissolved-cops-body-in-acid-is-found-dead-in-prison/,https://www.washingtonpost.com/amphtml/news/worldviews/wp/2017/02/06/breaking-bad-fan-who-dissolved-cops-body-in-acid-is-found-dead-in-prison/,58334.4,31383.6
https://www.washingtonpost.com/news/worldviews/wp/2017/02/13/a-canadian-school-district-wont-risk-field-trips-to-the-u-s-after-trumps-executive-order/,https://www.washingtonpost.com/amphtml/news/worldviews/wp/2017/02/13/a-canadian-school-district-wont-risk-field-trips-to-the-u-s-after-trumps-executive-order/,50270,22832
